笔画,吉凶,义象,总论,性格,意志,事业,家庭,婚姻,子女,社交,精神,财运,健康,老运
金水火,凶,有长辈意外之助或上司之引进或父祖之馀德，而可获得一时之成功发展，但三胜、三败，胜败浮沉特多，难以安稳。且有克妻子，及突发急变凶死之大灾祸危身。,有成功及意外灾害两种灵意，早年得志而成功一时者有之，恐遭他人拖累或意外挫折而陷入困境，但切勿灰心，仍有成功的机会，天运五行属水时，事业能够成功发展，名利双收。,为人坦白，易怒易解，言行坚实守信，稍有自大之感，具有天赋的才华，但凡事阻碍多，不易达成愿望，有眼高手低之叹，常有误打误撞而成功者。,意志不坚，容易受世俗迷惑，但耐性佳，可以忍耐艰苦，凭努力得到成功。,创业多波折，迟迟难达心愿，如意志坚定可成功发展，但常因自己判断错误而失败。,主观好胜，夫妻难和睦，子女亦难依靠，女命者，夫妻较和谐，家庭较为安定。,男娶固执寡和之妻，婚后夫妻多争执，女嫁聪明才干之夫，婚后家庭大致美满。,女孩较多，子女聪明活泼，长大后独立心重，父母意见不和。,性格明朗任性，努力进取，好面子而花钱不考虑，常在事后后悔，社交能力平凡。,外表乐观，好面子，内心苦闷不安，欲望太高，永远无法感到满足。,有财运但不稳定，乃时富时贫之兆。天运五行属土时，一生难有积蓄。,易患胃肠、筋骨酸痛、心脏病、肾、膀胱、女子难产等。,晚景虽钱财不缺，但精神仍寂寞不安，家庭欠温暖。
金水土,吉多于凶,得长辈或上司之惠助，再加上自身之勤勉，而于中年或壮年可获得相当之发展，但因基础运劣之故，于成功之后，又会有很多次之再成败，生涯多劳，难亨安逸，幸而水在土上，池塘之家，亦顺天然之景故，虽是相克，凶意则微。,创业途中难免遭到一些困难，全能一一克服而成功，常有出人意料之绝招，在令人惊异的情况下，得到名利，天运五行属木时，中年后大展鸿图。,为人主观而任性，性格孤高，架子颇大，缺乏服从心，头脑聪明判断力强，处事往往能够误打误中，而得意外成功，令人刮目相看。,意志不坚定，思想事业容易变动，耐性不够，处事容易冲动，常有小题大做之倾向。,凭着天赋才华和毅力，可创立一番事业，但亲友难得帮助，必须靠自力发展。,虽是有孝心，但言行表现却相反，夫妻多争执，子女意见不和。,男娶好胜固执之妻，婚后感情不美满，女嫁明朗寡和之夫，婚后时有争吵。,子女都有责任感，长大后早做独立打算，往外自力奋斗。,固执已见，容易得罪人，一意孤行而缺乏服从心，人际关系稍欠圆满。,表面似乎乐观，精神生活常在不安定中，常为人际关系而伤神。,经过一番苦劳，财源良好，但有成败一瞬间之灵意，应慎防。,易患胃肠、肾虚、妇人病等。,晚景可享清福，但精神有孤独不安之感。天运五行属金，晚年失败多灾。
金水金,吉,基础稳固安然，财源广进，又有父祖之荫益及上司之提拔，易得意外之助力，而可获得大成功，大发展，名利丰收。威权、名望、地位俱皆兴隆宽宏殊胜之配置。,能克服种种困难而成功发展，恐因自己判断错误，而中途陷入困境，宜忍耐，定能化险为夷，得到成功发展，天运五行属水，晚年失败多灾。,性格坚忍，度量宽宏，具有容人雅量，为人聪明又机智，有随机应变之能力，判断力特别敏锐，是难得的创业人才，耐心处事定能成功发展。,意志坚定，为理想坚忍奋斗，但耐力不足，情绪不稳定，常为小事而动怒。,凭您的才华及上进心，一定可以闯出一番事业博得名利，凡事多观察确实而行之。,家内大致和睦相处，得配偶助力，共同创立家业，家运昌隆。,男娶贤淑持家之妻，婚后和平美满，女嫁才华明理之夫，婚后大致圆满。,子女个性较顽强，容易和父母顶嘴，长大后在社会上有所成就，孝敬父母。,人缘和社交能力都不错，聪明且反应快，得他人赏识，获得成功发展。,表面似乎乐观镇静，精神却常在不安定中，理想过高，心情常有不平不满。,财利可得，中年后安然自在，天运五行属水者，晚年失败陷入困境。,易患胃肠、肾脏、妇人毛病等。,晚景物质不缺，但心情苦闷，天运五行属火时，晚年财源兴旺，事业发展。
金水水,凶,承父祖之馀德，得长者之栽培，或用人得当，得大成功及发展，原命若喜水木者更佳【９０分】。若凶数者：成又转败，陷于离乱变动，至晚年终归孤独失败，又早年有落水灾遇，生涯九死一生之命格。又须戒色，以防色变及刀杀之危。,表面似乎可以成功，但一生多灾难与挫折，常在烦恼中度日，呈现不安之现象。有早期成功一时者，但若不知持盈保泰，终究陷入失败的命运。,性格容忍而明朗，机智聪明且判断力强，快人快语人缘好，眼高手低，精神生活常在不安定中，天运五行属于土者，早年有灾厄，中年后可成功发展，一展自己抱负。,意志尚称坚定，能忍受艰苦及困难折磨，常有意外绝招而成功发展者。,在苦劳中创立一番事业，成功时若能退守可保无忧，如继续拓展，恐有失败之虞。,家庭有不安现象，夫妻常有争吵。,男娶好胜持家之妻，婚后多争执，女嫁仁慈才干之夫，婚后大致圆满。,女孩较多，子女个性较孤独，与父母感情不很亲密，身体有虚弱之倾向。,为人坦白，快人快语，具有容人之心，善于舌战辩论，社交能力和人缘还算不错。,外表乐观，内则空虚，精神生活不安定，为家庭多劳苦。,财运不稳，贫富难分，有因判断错误而失去财产者。,易患肝胆机能、胃寒、风湿痛、妇人毛病。,晚景似乎孤独不安，身体病弱。天运五行属土时，可享清闲之福。
水木木,吉,基础安泰，长辈惠助，排除万难，而顺利成功及发展，繁荣隆昌，人缘殊胜，利荫六亲。,可得长辈的惠助，得意外发展，早期成功之兆，稍有依赖心之嫌，宜培养自立创业能力，免得陷入困境时而束手无策。天运五行属土时，中年后陷入失败的困境。,个性外柔内刚，做事勤勉且善于计划，为人主观不屈人下，有长者风范，在社会上有良好的名声信用。天运五行属水时，一生富贵之命，但天运五行属土或金者，不宜使用此配置。,意志坚定，不易受世俗迷惑，按部就班，步步高升，得到成功发展。,受到贵人或和长上的帮助与提拔，成功运来得早，事业运顺利。,父母有荫，家庭和睦，子女孝顺，一生应当幸福。,男娶贤淑固执之妻，婚后尚称圆满，女嫁温和寡和之夫，婚后时有争吵。,男孩多于女孩，聪明且孝顺，长大后能在社会上获得成功，家运兴隆。,为人慈祥、有原则，行事稳重可靠，甚得人心，社交能力和外缘俱佳，但有受亲友拖累而损才之象。,运境欣欣向荣，精神愉快无忧。,贵人明显，财运尚称如意，天运五行属水时，定为天下一富翁。,易患胃肠、血管之疾。,晚景吉祥，生活无忧，身心愉快，家庭和乐融融。
水木火,吉,可得平安荣华之幸运，及能受父祖馀德或财力所荫益，达到成功与大发展，但其过程伏有许多艰难，最怕人格与地格若凶数，终归失败，若无凶数，则可免忧。,辛勤劳苦收获有限，常在忧愁中度日，依努力程度得到相当的回报，风光一时者有之，但有不知何故而陷入灾难、困扰之灵意，晚景稍平安，天运五行属水者，一生平步青云，可一展抱负。,为人努力不懈，凡事都先安排，经过计划慎重进行，外表平静而内心不屈。大都有猜疑心，表里不一，假仁慈之人。,意志坚定，注重实际与工作，耐性也佳，可以忍受艰苦，但自己满怀信心，容易陷入一意孤行。,有进取心，对家庭责任感很重，一生辛勤奋发，靠努力发展，中途有意外损失。,家庭有不测之灾而陷入不幸之兆，夫妻感情尚称圆满。,男娶克勤克俭之妻，婚后中途有变化之灵意，女嫁温和才干之夫，婚后和睦但不能白头偕老。,男孩多于女孩，健康活泼，长大能成功发展，在社会上一展抱负。,人缘不错，社交平凡，喜好安静，厌弃烦难，要求身边的人也较高。,心多烦闷，精神生活常在不安定中，有因意外变化而陷入精神劳苦者。,依努力可得到相等的财利，天运五行属水时，一生财源甚兴，属金则贫困不安。,易患神经衰弱，筋骨酸痛等症。,晚景渐入佳境，但精神不安宁，天运五行属水，晚年可得成功之兆。
水木土,吉,基础运乃木在上而土在下，顺应天地自然之配置（不作木土相克论），犹若立于磐石之上，相得益彰而毫无凶变，境遇安全而顺利之安泰成功，并隆昌发达。,有成功发展之配置，经过一番辛勤努力，不断地充实自己，做事都有计划，可以积极向外发展，必能在社会上有所作为，得到成功发展，但天运五行属水者，中年后失败又逢灾。,为人仁慈，喜欢帮助他人，有进取心，对家庭有责任感，一生辛勤奋发，但处事较主观固执，容易陷入一意孤行，这一点应改进。,意志不够坚定，容易被甜言美语所惑，耐性不佳，做事容易冲动，常为小事而动怒。,事业运良好，大多辛勤奋斗，脚踏实地而在社会上获得成功，名利可得。,家庭、夫妻尚称和睦，子女亦都乖巧孝顺。,男娶贤淑持家之妻，婚后欣欣向荣，女嫁温厚才干之夫，婚后家庭圆满。,子女聪明有责任感，长大后在社会上能成功发展，共同创造家业。,社交能力及外缘皆如意，可在社会上一展抱负，担任主管或自己当老板，可受到支持与爱护。,外表乐观，内心多操劳，但精神尚称安稳，天运五行属木时，一生快乐无忧。,奋斗有成，财源逐渐而来，后运财运甚丰，但天运五行属水，中年后失败不安。,身心健康，有胃肠方面之毛病。,晚景安泰无忧，安祥吉庆之运，家境繁荣，天运五行属水者陷入灾厄及财务困难。
水木金,凶,虽可获得成功及发展于一时，亨受富贵于短暂，但因基础运劣，以致境遇不稳，若忍耐力不够，恐遭难受伤或伤人，且财利易生凶变，终再失败，且有因他人之连累以致破财及受到武器之迫害杀伤流血之虑。,创业途中难免遭受一些挫折和考验，且容易受到亲友的拖累，而影响事业的发展。,心性柔和仁慈，乐于帮助别人，理想高远而不能得到别人的帮助，恐陷入孤单奋斗，心情郁闷，但切莫意气用事，财神自会与您结缘。,意志不够坚定，思想计划易变，做事又容易行动，花钱有浪费倾向。,早年事业多波折，有耐心及信心，中年后自可稳定发展，安祥吉庆之运。,父母疼爱，为家庭多操劳，妻子个性顽强，带来不少困扰。,男娶好胜持家之妻，婚后为家庭劳累，女嫁温厚才干之夫。,男孩较多，个性顽固，与父母意见不和，慎防流于问题少年。,待人和蔼，但过于相信自己能力，容易陷入一意孤行。人缘不错，社交平凡。,表面坚忍，但一生劳碌，内心多苦劳，精神不开朗，忍则安。,有财运但不稳定，有时好时坏之灵意，慎防亲友牵累而陷入困境。,易患肝炎、肾病、外伤或杀伤流血、脚疾。,终能克服人生难关，晚景生活安定无忧，天运五行属木者，将陷入困境。
水木水,凶,青年期甚劳苦，因勤奋求上进而在中年末，虽可很顺利成功并发展隆昌长久。但人、地格，有凶数者：在晚年或许会再产生艰难、困苦、劳心，甚至遭致失败之忧。此三才局，若数理无凶，即无病，有病吃药便可速愈。,成败难分的配置，有一时的成功顺调，但因判断错误或亲友之累而陷入困境，财务受损，如能再发挥您的才智和毅力，克服难关，仍可挽回信用和名誉。,聪明才华，有计划头脑，行事稳重可靠，注重实际与工作，对自己信心十足，容易陷入一意孤行，碰到困难则自己承担苦劳及精神打击。,意志坚定，有主见，有耐心，不怕艰苦，一生辛勤奋发，成功有望。,会有一时的成功发展，然不可大意误事，或重仁义为他人牵累而陷入困难者有之。,父母疼爱，夫妻不睦，子女孝顺，容易受到感情上的创伤。,男娶好强勤劳之妻，婚后多争执，女嫁顽固才华之夫，婚后大致圆满。,男孩多于女孩，个性比较孤独，长大后都能孝顺父母，得到成功发展。,为人仁慈，待人谦虚有礼，人缘不错，但人际关系稍欠圆满，容易卷入是非，遭受损失。,外表似乎乐观，但内心却有苦说不出，心情欠开朗，感表较脆弱，容易受到打击。,辛勤劳苦有收获，财利可得，天运五行属土时，中年后事业蓬勃发展。,易患胃肠、神经衰弱、风湿症、筋骨酸痛等症。,终生辛勤劳碌收获不多，晚景心情不开朗。天运五行属火者，晚年逢灾受困。
水火木,凶,境遇坚固安泰，有下属之助力，地位、财产均安全，以木解消水火之相克，致成功，但若人地格有凶数，于成功后，难以伸展，且有突发之灾祸、遭难等之虑，更容易发生因爱情上而产生之不测灾难、凶变等。,性急而主动，一生辛勤劳碌，可博得暂时性的成功，无奈中途有灾难，而造成不幸，但且勿自暴自弃，中年后还有成功机会，挽回信誉和事业。慎防意外灾厄及外伤。,待人热心而性急，做事短虑容易受挫折，内外是非多，而有为他人所累之倾向，应培养耐力及精神修养，创造中年后的成功为要。,意志坚定，不甘屈居人下，为人努力但耐力不足，处事容易冲动，常一发不可收拾。,靠自力坚苦奋斗搏得一时成功，中途受挫折，有中年后再发展之灵意。,男命则家庭大体圆满，但夫妻有争吵。女命则家庭不睦，夫妻多争执，有婚姻危机。,男娶克勤克俭之妻，婚后意见不和，女嫁顽固寡和之夫，婚后欠和睦。,子女皆聪明孝顺，长大后在社会上有所成就。,个性急躁，有一发不可收拾之感，但待人尚诚恳，人缘难好，人际关系则不甚圆满。,表面似乎乐观坚强，内心则多苦闷，心情欠开朗，常受精神上及感情上的打击。,操劳中得财，时贫时富不稳定，慎防意外损失。天运五行属金时，财利较佳。,外强内虚，易患脑疾、心脏病、急灾外伤等。天运五行属水时，中年前有生命危险。,终身苦劳，晚景难安，是非缠身，身体病灾。天运五行属金，可逢凶化吉。
水火火,凶,成功运被压抑，不易成功，有突发灾祸，或陷于失妻、短命及其它不详之灾祸。,中年前多灾多难，事业难有成就，容易遭意外之灾病与打击，常在苦闷中度日，应多忍耐防范，中晚年可成功发展。天运五行属水者，早年有生命垂危之兆。,做事冲动而积极，常因欠考虑而一发不可收拾，待人热心积极，常为他人所累，早年辛勤劳苦而收获少，应多注重精神上的修养，等待良运的来临。,意志不够坚定，情绪亦不稳定，但有耐心，能忍受失败的打击及困苦的折磨。,六亲无助，平生多劳苦、辛勤而收获少，中年后较有成功运及财利。,父母无阴，兄弟难助，夫妻多争执。女命者，慎防婚姻危机。,男娶唠叨寡和之妻，婚后难和睦，女嫁好胜鲁莽之夫，慎防婚姻危机仳离。,子女聪明活泼，稍嫌过于顽皮或身体有健康问题，增加不少麻烦。,性急好酒色，容易和别人发生纠纷是非之事，宜涵养忍让之美德。,劳苦烦闷自愁，内外不安，精神不安定，心情不开朗。,早年财运不佳，物质生活缺乏，中年后可稍转好，但仍不稳定。,易患脑疾、心脏病、肝胆、精神分裂症及意外急变灾病。,一生辛勤劳碌，晚景稍呈吉祥，物质生活亦转佳，天运五行属水者，早年能逢凶化吉，老来财利尚丰。
水火土,凶,基础运坚实而可成功于一时，但因成功运被抑压以致不能有所伸展，生涯殊多艰难、不幸、不满、哀怨，中年后又有突发急变之不测灾祸而危及生命之虑。,辛勤劳苦而收获少，心情常在苦闷中，做事冲动而积极，成功失败常在一瞬间，如能涵养忍耐力，中年后可成功发展，慎防意外灾病。天运五行属木者，事业能成功发展。,表面乐观豪爽，喜出风头爱面子，乐于解决别人的困难，不耐独处，容易和异性接近，内心烦闷不安，一心想自当老板，容易造成不平不满的人生过程。,意志坚定，而独断独行，但耐心不足，做事有虎头蛇尾之倾向，常有误打误撞而获财利者。,适合投机性或爆发性的行业，常有出人意料的绝招，得到名利和地位。,男命者家庭大致圆满，应注意桃花的后果，女命者则夫妻多争执，家庭难和睦。,男娶温厚贤惠之妻，婚后夫妻大致和睦，女嫁好胜好强之夫，婚后家庭不美满。,子女谦恭又有责任感，长大后在社会上能成功发展。,外表乐观又喜出风头，做事急躁，在社会上能得朋友之助，社交能力佳。,表面坚忍，一生辛苦劳碌，心情不开朗。,早年劳苦，中年后得财，财运尚佳，天运五行属木者大成功，属水者常受失败打击。,易患头痛、脑疾、呼吸系统、高血压、神经痛等。,晚景转佳运，但仍性急固执，心神忧烦，天运五行属木火，晚景安然无忧。
水火金,凶,至劣之三才配置，决不能成功，亦不能伸展，常受上司压追又屡受下属陷害，很不安定，内外不和，进退两难，身心过劳，作事极端偏激招灾遭难变死或发狂伤人或失配偶、丧子等之兆。,一生颇多意外的灾害与打击，费尽心力而难得成功，做事应涵养耐心，中年后有成功发展的机会，财利可得，天运五行属木时中年前就可成功，中年后财源广进，老年有灾。,个性急躁，主观意识强，容易陷于一意孤行而遭受失败的打击。有时好出风头又容易因判断错误而带来财务上的损失，应多改进。,意志不坚定，常有投机或发横才之心理，耐性不佳，处事容易冲动，但常有误打误撞而成功者。,经过长期的奋斗，遭受到许多劳苦与挫折，如能忍耐自有所成就，财利可得。,父母无荫，六亲无靠，夫妻不和睦，孤独之兆，女命者有婚姻危机。,男娶固执寡和之妻，婚后不美满，女嫁好胜好强之夫，婚后常争执。,子女个性顽强，比较容易和父母顶嘴，长大后与父母意见不和，注意流于问题少年。,人缘虽好，但社交运不佳，容易接近异性，又容易和别人发生是非纠纷之事。,外表看似乐观，内心却多争多劳，无论物质好坏，心情总是苦闷难安。,虽有财运但不稳定，且有花钱浪费的倾向，应节制以保晚年。,易患呼吸系统，精神过劳，腰骨酸痛、心脏病、脑疾或头痛、妇人病或难产。,晚景转入佳运，物质不缺，但家内有孤独之兆，精神欠开朗。
水火水,凶,极凶之三才配置，百般阻碍与迫害殊多，无形之心病甚重，永不能成功，亦不能伸展，而且生涯绝对的不安定，大不祥，大灾遇，有意外不测之急祸凶变而丧失生命或财产，死神常在其身边，有的变成发狂、杀人或被杀、变死等。,运途多变，一生中遭到很多的灾害与打击，为家庭劳苦受累，若能逃过灾难，中晚年财源丰盛，事业成功，名利可得。天运五行属土时更佳。,为人性急率直，好胜不认输，待人热心积极而常为他人累，如能依赖自己的热忱决心，终能得到应有的报酬，一展自己的抱负。,意志不坚定，思想容易脱离现实，但有相当耐心，不怕失败的打击，时机一到可成大事之象。,在多变不安的环境中接受考验，如能以不屈不挠的精神贯彻到底，事业可成功发展，物质丰富。,夫妻不睦，应多涵养忍让之心，免造成婚姻危机，子女亦不受教。,男女皆得好胜顽固之配偶，婚后多争执，容易受到感情上的打击。,子女个性较孤独顽固，身体状况亦较差，长大后与父母意见不和。,为人豪爽慷慨，性急主动，社交能力及人缘颇佳，防意外损失及被拖累而陷入困境。,好面子，外表看似乐观，内心急进苦劳，常为家内问题伤神，精神不开朗。,财运佳，但须经过一番考验方能得到，有意外失败之灵意，要慎防。,易患呼吸系统、脑疾、心脏病、妇人病及意外失败急灾病难。,老景难裕，但精神仍苦劳不安，天运五行属火时，晚年失败又逢灾。
水土木,凶,木在下而土在上：与自然状态颠倒便是凶，此谓（木克土）矣，基础运劣，境遇不安定，以致变死或移动，仍是障害多端，困难及苦楚殊多，成功困难，无法发展，失意一世，遭崩物伤或意外不测灾危以致短寿变死。,命运不佳，思想脱离现实，做事又缺乏果断力，不能得到别人的支持，靠孤军奋斗，一意孤行而遭受失败的打击，宜守为安。,表面似乎信实，其实缺乏服从心，态度傲慢，好虚荣，有眼高手低之倾向，一生颇多意外的灾害与困顿，宜小心预防，忍耐行事可减忧，好高骛远只有徒争烦恼。,意志不坚定，缺乏果断力，造成多败不安的现象。,事业难稳定，成功发展机会不多，应注重精神修养，从事单纯性的工作，可减少失败的打击。,六亲缘薄又无助，夫妻不睦，子女顽固，家庭运不佳。,男娶好胜寡和之妻，婚后多争执，女嫁无果断力之夫，婚后难圆满，多争吵之象。,子女聪明顽固，长大后独立心强，与父母意见不和，,现实的社会，交友仍须论成就与否，社会本来就是现实的，注重精神修养才是上策。,事事难如愿，精神苦闷不安，应注重精神修养，寻求精神寄托。,财运不佳，找个领薪水的工作度日可减少精神疲劳，或经营小本生意亦可。,易患脑神经衰弱、胃肠、精神分裂症等及妇人病。,一生操劳但功少，晚景仍不安，精神生活及物质生活都欠佳。
水土火,凶,基础安定，能逃灾害，排除障碍而达到成功。不过却因成功运不吉，不能再伸展。不能将天赋才能以完全发展，使其成就与精华俱皆受到打折，殊为可惜，又须深戒提防色难之忧。若人格或地格数理凶，则有病，导致头脑神经症或心脏病。,一生运途较劳碌，常在忧愁中度日，事业上多挫折，如从事较单纯或小资本生意，求安定性之生活，可减少创业损失，天运五行属土时，中年后可成功一时。,表面温和待人有礼，但内心好胜刚强，好面子又缺乏服从心，有眼高手低的倾向，容易放弃好机会而无法把握住，亦有受人牵累损财之灵意。,意志坚定，不易受世俗迷惑，也有相当耐心，不怕失败的打击，在辛勤劳苦中度日。,若不好高骛远，做个薪水阶级或从事足够养家活口的行业可顺利，贪得则有害。,父母少，夫妻圆满，子女孝顺。女命者夫妻多争执，家内不安定。,男娶贤淑克勤之妻，婚后恐因应酬问题而争吵，女嫁无果断力之夫，婚后家庭不和睦。,子女健康活泼，稍嫌顽皮些，但长大后在社会上有所成就，帮父母分忧解劳。,人缘和社交运皆佳，个性好胜不屈，容易引起别人误解，又有受骗而散财之兆。,外表乐观，内心却不平不满，又容易受到精神上的打击，心情不开朗。,财运不佳，宜守不宜攻，勤俭持家能保无忧，好高骛远恐有劳民伤财之虑。,易患胃肠、头或脑部、肾部之症。,终生操劳，收获不多，晚景烦闷，注重精神上的修养，心情才能快乐。
水土土,凶,境遇安定，平顺幸福，能排除困难，广得人助，而得到名利双收之大成功，生活安逸，可惜因成功运不理想，是以向上伸展产生障碍多端，只能维持原有旧日之成就现状而已。此三才局：人格地格之数理若无凶，则健康，无病，快乐的。,运途不佳，费心费力而无所成，中年或许有一时的成功，但因耐力不足，运途不济而又陷入困境，亦有遭人牵累之意。天运五行属火时，一生转为安宁。,心情常有不平不满，好出风头又缺乏服从心，主观意识过强，常因一意孤行而遭失败的打击，守其和平，免被卷入是非中平白遭受损失。,意志不够坚定，思想容易受动摇，耐力亦不足，做事有虎头蛇尾的倾向，须培养定力。,如果在稳定中谨慎求发展，尚可平安无事，如操之过急或好高骛远，必遭失败厄运。,六亲缘薄，妻子有助但意见不和。女命者，夫妻多争吵，又有婚姻危机的可能。,男娶克勤固执之妻，婚后不太和睦，女嫁懦弱寡和之夫，婚后不美满。,子女聪明温厚，长大后能孝顺父母，在社会上也能发展，一展自己的抱负。,讲话好出风头，又不认输，容易得罪人，社交能力不佳，容易错过好机会，亲友多是非。,事事难如愿，内心多烦，心情欠开朗，注重家庭和谐，精神较愉快。,财运不佳，如有一时成功，宜守为安，切勿投机取巧或好高骛远，可减少财务损失。,易患胃肠、肾、脑部等疾。,一生多劳苦，晚景心情仍忧烦，但境遇尚安定，天运属火时，物质不缺，属水则有灾。
水土金,凶,基础运佳，故而可以安定发展，排除万难而成功，但因成功运不吉，是以难于再伸展，或陷于不测之灾难袭来之虑，若无凶数则可免忧，亦可康健无病。,有志难伸之家，虽有责任心，但辛勤劳苦而收获不多，常在忧愁中过日，亦有为亲友牵累之意，保守行事则少忧。天运五行属火时，中年前及晚年有发展良机。,凡事守本份，做事过于仔细欠缺决断力，有眼高手低之倾向，不耐吃苦繁重的工作，缺乏服从心，易生不平不满，虽有成人之美德，结果不能得到回报，甚或引起麻烦之事。,意志坚定，但耐心不够，做事有虎头蛇尾的倾向，要培养果断力，才能成功。,适于薪水阶级或从事稳定性小本生意，如有好高骛远之企图，只会招来无谓的损失。,六亲缘薄，夫妻尚圆满，子女孝顺。,男娶端庄内强之妻，婚后尚称圆满，女嫁无主张性之夫，婚后意见不和。,男孩多于女孩，个性稍顽强，长大后能有成就。,有做人难的感叹，诚心待人终是多累，交际不甚如意，宜守为安。,消极的作风，内心多烦，心情欠开朗。,财运不佳，宜预防意外损失。,易患脑神经衰弱、胃肠、筋骨酸痛。,晚景虽无显著进展，精神可较安定。
水土水,凶,三才配置极劣，基础不稳，凶运交加袭来，而又不能向上发展，生涯绝对不安定，被人所弃变为孤独、无赖、遭难、病死等兆，又有不测之凶变灾祸危身或变死之虑，易遭坠物所伤或趺落之灾。,经过许多艰苦、意外挫折与灾难之象，如能逃过灾厄，中年后有成功发展的好机会，名利可得。天运五行属土，晚年财运丰富。,您的主观意识较重，又缺少服从心，不甘屈居人下，有好面子与虚荣心之倾向，招来许多困苦与打击，应注重精神修养方能有所作为。,意志不够坚定，思想及事业多变化，但有相当耐心，不怕失败的打击，亦能忍受劳苦的生活。,您的事业必须经过长期的考验才能成功，如果中途自暴自弃，必将自毁前程。,靠自力更生，夫妻子女亦难圆满，家庭缺乏温暖，且有不安之象。,男娶不平不满之妻，婚后不和睦，女嫁懦弱寡和之夫，婚后多争执。,子女个性较孤独，身体状况亦较差，长大虽能成就，但独立心较重。,社交能力及人缘还算不错，但不可太牵就面子问题，而招来财务损失。,无论物质生活好坏，因家庭不安，精神常在不安中，心情欠开朗。,早年财运不佳，中年后财利可得。天运五行属土，亦有大富翁之象。,易患胃肠、筋骨酸痛、肾胆、膀胱、妇人毛病、白带症等。,晚景物质生活无缺，但缺乏天伦之乐，精神仍不安定，天运属火，晚年有灾。
水金木,凶,虽可顺利成功发展如意，但因基础运不安定之故，常有变动之凶，浮沉多端，风波不息，易变成克妻子或遭难外伤、流血等厄之虑。,或许有一时成功之配置，但主观意识达强，容易一意孤行而遭受失败的打击，多劳而少得，心情多苦闷，容易碰到突然而来的挫折，留下痛苦的回忆。,性格独立而早熟，倾于主观而好胜，容易为小事而发怒，自作主张，不与人妥协，成长期易流于问题少年，或受人之累而卷入法律纠纷，易受亲友牵累而损财。,意志不够坚定，已经决定的事情，容易考虑再三，朝令夕改而无法定案。,如有一时的成功应该满足，宜退守为安，若好高骛远，只有徒增损失与苦闷。,六亲无助，靠孤军奋斗，夫妻不和睦，子女又反感，慎防婚姻危机。,男娶意志不坚之妻，婚后多争执，女嫁好胜寡和之夫，婚后难圆满。,子女虽聪明，但独立心很强，长大后独立心很重，早作离家生活打算。,为人主观而好胜，爱幻想而不重实际，不善交际，易受亲友误解，应改进。,困难颇多，家内不和，精神难安，心情多苦闷。,财运不佳，宜预防被拖累或意外损失，并应避免浪费以保晚年。,易患呼吸系统、神经衰弱、脚疾、肾亏、妇人毛病、白带症、难产等。,晚景稍平静，但仍非佳运，一生多操劳不安，家运衰微之象。
水金火,凶,虽因勤奋争进而有成功运，达成目的，但因基础运不稳，常会再陷于不安定之境遇，而多成多败，易受人迫害，且终因过劳而招致肺疾或遭难、凶变等。,或许有一时的成功，但不实际，有超过自已的能力或财力的企图，易陷于意外挫折与灾难之象。以致劳苦而无所成，受人拖累或事业多变化的灵意。,有企划头脑及活动力，但主观意识过强，常有与身份不相应之言行，会因自己的判断错误而失败，应谨慎行事，以免劳民伤财。,意志不坚定，事业多变化，但有相当耐心，不怕失败的打击，一生尚能忍受困苦的日子。,如能按部就班步步为营，可以一展自己的抱负，做事若不量力而为，会劳而无功增加苦闷。,父母缘薄，夫妻多争，子女难靠，女命者，夫妻较能和睦相处。,男娶外柔内刚之妻，婚后不甚和睦，女嫁谦和才干之夫，婚后尚称圆满，,子女聪明活泼，稍嫌顽皮，长大后在社会上有所发展，但对父母有不敬之举。,人缘及交际能力不错，有桃花运的倾向，婚后常因应酬太多导致夫妻发生冲突。,外表乐观，家庭不和，内有空虚又有财务困难，心情苦闷难安。,财运不佳，应多节俭并避免意外损失，持盈保泰，未雨绸缪可减少痛苦。,易患呼吸系统、脑疾、筋骨病症、妇人毛病等。,终生劳苦，事事不如意，晚景孤独，精神不安定，又有意外灾难。
水金土,吉,学竟有成，凡事如意，顺利成功，达成目的，名利双收，境遇安固，优越发展，享尽幸福。,虽有聪明才智及坚强的意志，有创业及突破艰难之才华与魄力，大致事业可成，名利可得，唯财源不断而陷入困境，抑郁不得发展，有处伤之兆。天运属火时，中年前后逢灾、失败。,性格倾向于主观好胜，努力肯上进，忍耐力特别强的意志，能克服种种困难，可说是天生的领导人才，大都在中年前就能在社会上建立良好的形象，但自创事业是很难成功的。,意志坚定，独断专行，但耐心不够，处事容易冲动，常有与身份不相应之企图。,若不好高骛远，小成就是没有问题的，但理想过高会呈现多败不安的现象。,父母无荫，亲友难靠，大致圆满，但夫妻有争吵现象，子女尚称孝顺。,男娶贤淑持家之妻，婚后大体幸福，女嫁贤能才干之夫，婚后时有争吵。,子女皆温厚聪明有责任感，长大后在社会上有所成就，能与父母共同持家。,人缘不错，但性急而口齿伶俐，常在不知不觉中刺伤别人而引起反感，人际关系稍欠圆满。,中年前精神较愉快，中年后心情欠开朗，又因事业不顺以及财务问题而苦闷不堪。,财运不佳，只能求稳定性收入，切勿盲目投资而损失财力，导致身败名裂。,易患脑神经衰弱、呼吸系统疾病。,一生费尽心力而收获不多，精神生活及物质生活皆不佳，晚景心神不安。
